Signature	Proposed_Etiology	A.T2.vcf	B.T2.vcf	C.T2.vcf	E.T2.vcf	F.T2.vcf	G.T2.vcf	H.T2.vcf	I.T2.vcf	J.T2.vcf	K.T2.vcf	M.T2.vcf	O.T2.vcf
1	Age	0.124	0.294	0.248	0.025	0.139	0.199	0.168	0	0.019	0.069	0.172	0.369
2	APOBEC	0	0.014	0	0.065	0	0	0.011	0.026	0.052	0.002	0	0.005
3	BRCA1 / BRCA2 (failure of DNA DSBR / large INDELs)	0.171	0	0.218	0.288	0.486	0.15	0	0	0.15	0.155	0	0.059
4	Smoking	0	0	0	0.083	0	0	0.57	0.505	0.103	0	0	0
5	Unknown (all cancer types)	0	0	0	0	0	0	0	0	0.006	0.057	0.003	0
6	Defective DNA MMR / MSI (small INDELs)	0.141	0.02	0.058	0.145	0	0.007	0.005	0.063	0.012	0	0.263	0
7	UV light	0.069	0.309	0.019	0	0	0	0.066	0.061	0.046	0	0.022	0.013
8	Unknown (breast cancer and medulloblastoma)	0	0	0	0	0	0.026	0	0	0	0	0	0
9	POLH (CLL, BCL)	0	0	0	0	0	0	0	0	0	0	0	0
10	POLE (ultra-hypermutation)	0	0	0	0.028	0	0.048	0.003	0	0.015	0	0	0.003
11	Alkylating agents	0	0	0	0.187	0.006	0.148	0	0.056	0.216	0.076	0	0.084
12	Unknown (liver cancer)	0.346	0	0	0	0.058	0	0	0.021	0	0.262	0.181	0.105
13	APOBEC	0.035	0.214	0.085	0	0.071	0	0.022	0.141	0.004	0.029	0.083	0.027
14	Unknown (uterine cancer and glioma / hypermutation)	0	0	0	0	0	0	0	0	0	0	0	0
15	Defective DNA MMR (small INDELs)	0	0	0	0	0	0	0	0.002	0	0	0.058	0
16	Unknown (liver cancer)	0.005	0	0	0	0.111	0	0	0	0	0.232	0	0
17	Unknown (different cancers)	0.086	0.059	0	0.001	0	0.015	0.013	0.007	0	0	0.008	0.001
18	Unknown (different cancers)	0	0	0	0	0	0.035	0	0	0.018	0	0	0
19	Unknown (pilocytic astrocytoma)	0	0	0.039	0.128	0	0	0.017	0	0.173	0	0.107	0
20	Defective DNA MMR (small INDELs)	0	0.055	0	0	0	0	0.057	0.015	0	0	0	0.158
21	Unknown (stomach cancer / MSI)	0.025	0	0.003	0	0.029	0.035	0	0.008	0	0	0	0.063
22	Aristolochic acid	0	0	0	0	0	0	0	0	0.039	0	0	0.025
23	Unknown (liver cancer)	0	0	0.028	0.042	0.088	0	0	0	0	0.087	0.03	0.056
24	Aflatoxin	0	0	0	0	0	0.071	0.067	0	0	0	0	0
25	Unknown (Hodgkin lymphoma)	0	0	0	0	0	0	0	0	0	0	0.014	0
26	Defective DNA MMR (small INDELs)	0	0	0.275	0	0	0.266	0	0	0	0.005	0	0
27	Unknown (kidney clear cell carcinomas / small INDELs)	0	0	0	0.008	0	0	0	0	0	0	0.024	0
28	Unknown (stomach cancer)	0	0.035	0.026	0	0	0	0	0.008	0	0.027	0	0
29	Tobacco chewing	0	0	0	0	0.012	0	0	0.088	0	0	0.035	0.03
30	Unknown (breast cancer)	0	0	0	0	0	0	0	0	0.148	0	0	0
