Hugo_Symbol	Frame_Shift_Del	Frame_Shift_Ins	In_Frame_Del	In_Frame_Ins	Missense_Mutation	Nonsense_Mutation	Nonstop_Mutation	Splice_Site	total	MutatedSamples	AlteredSamples
KMT2C	0	0	1	0	6	0	0	0	7	6	6
ADAMTSL4	3	0	0	0	1	0	0	0	4	3	3
AHNAK2	0	0	0	0	4	0	0	0	4	3	3
ANKRD36C	1	0	0	0	3	0	0	0	4	3	3
BAGE2	0	0	0	0	2	0	0	2	4	3	3
DMBT1	0	0	0	0	2	1	0	0	3	3	3
FLT3LG	2	0	1	0	0	0	0	0	3	3	3
PDE4DIP	0	0	0	0	3	0	0	0	3	3	3
PRAMEF4	0	0	0	0	3	0	0	0	3	3	3
ALPP	0	0	2	0	1	0	0	0	3	2	2
MST1L	0	0	0	0	3	0	0	0	3	2	2
NOTCH2NL	0	0	0	0	3	0	0	0	3	2	2
PRB2	0	0	1	0	2	0	0	0	3	2	2
RPGRIP1	0	0	0	0	2	1	0	0	3	2	2
AIM2	1	1	0	0	0	0	0	0	2	2	2
AMMECR1	0	0	2	0	0	0	0	0	2	2	2
ATXN2L	0	0	0	0	2	0	0	0	2	2	2
B4GALNT4	0	0	0	0	2	0	0	0	2	2	2
BRD4	0	0	0	0	2	0	0	0	2	2	2
BRSK1	2	0	0	0	0	0	0	0	2	2	2
C11orf80	0	0	0	2	0	0	0	0	2	2	2
COL11A1	0	0	0	0	2	0	0	0	2	2	2
COL6A3	2	0	0	0	0	0	0	0	2	2	2
CSPG4	0	0	0	0	2	0	0	0	2	2	2
CTAGE6	0	0	0	0	2	0	0	0	2	2	2
DAZAP1	1	0	0	0	1	0	0	0	2	2	2
EGFR	0	0	1	0	1	0	0	0	2	2	2
FAM161B	0	0	0	0	2	0	0	0	2	2	2
FBLN2	0	0	0	0	0	1	0	1	2	2	2
FRG1	0	0	0	0	2	0	0	0	2	2	2
GPR32	0	0	0	0	2	0	0	0	2	2	2
GSAP	1	0	0	0	1	0	0	0	2	2	2
IRX5	0	0	0	0	2	0	0	0	2	2	2
MAP1LC3A	0	0	0	0	2	0	0	0	2	2	2
MUC4	0	0	1	0	1	0	0	0	2	2	2
MYRF	2	0	0	0	0	0	0	0	2	2	2
MYT1L	0	0	0	0	2	0	0	0	2	2	2
NBPF12	0	0	0	0	2	0	0	0	2	2	2
OR2L3	0	0	0	0	2	0	0	0	2	2	2
PCMTD1	0	0	0	0	2	0	0	0	2	2	2
PGAP2	0	0	0	0	2	0	0	0	2	2	2
PHACTR2	2	0	0	0	0	0	0	0	2	2	2
PHF21A	0	0	1	0	1	0	0	0	2	2	2
POU5F1B	1	0	0	0	0	1	0	0	2	2	2
PROM1	0	0	1	0	1	0	0	0	2	2	2
PSMA1	2	0	0	0	0	0	0	0	2	2	2
PTMA	0	0	0	0	0	0	2	0	2	2	2
