Tumor_Sample_Barcode	Frame_Shift_Del	Frame_Shift_Ins	In_Frame_Del	In_Frame_Ins	Missense_Mutation	Nonsense_Mutation	Nonstop_Mutation	Splice_Site	total
H_T1	4	3	0	1	158	17	0	4	187
I_T2	13	6	7	1	134	12	1	6	180
I_T1	8	4	4	0	118	9	0	4	147
K_T2	12	1	8	0	87	10	0	4	122
H_T2	1	1	1	2	96	11	0	2	114
E_T2	25	0	10	0	58	3	0	2	98
E_T1	23	0	8	0	52	0	0	3	86
J_T2	8	1	4	0	62	6	0	2	83
B_T2	28	2	24	0	18	2	0	1	75
M_T2	14	8	1	1	37	3	1	2	67
O_T2	8	2	6	1	40	5	0	0	62
O_T1	8	8	2	2	28	3	1	2	54
K_T1	10	3	3	0	28	4	0	3	51
B_T1	6	1	21	1	17	2	0	2	50
C_T2	3	1	0	0	40	4	0	2	50
M_T1	7	6	2	0	30	1	0	1	47
A_T2	0	0	0	0	43	1	0	2	46
J_T1	3	3	1	0	30	3	0	2	42
G_T1	5	1	0	0	29	0	0	1	36
C_T1	2	0	0	0	25	2	0	0	29
G_T2	2	0	2	0	20	2	0	0	26
F_T2	2	1	1	1	17	0	0	1	23
A_T1	3	0	0	0	9	1	0	1	14
F_T1	1	1	0	0	10	0	0	1	13
