Hugo_Symbol	Frame_Shift_Del	Frame_Shift_Ins	In_Frame_Del	In_Frame_Ins	Missense_Mutation	Nonsense_Mutation	Nonstop_Mutation	Splice_Site	total	MutatedSamples	AlteredSamples
AHNAK2	0	0	0	0	5	0	0	0	5	4	4
KMT2C	0	0	0	0	5	0	0	0	5	3	3
MST1L	0	0	0	0	4	0	0	0	4	3	3
MUC17	0	0	0	0	4	0	0	0	4	3	3
ANAPC1	0	0	0	0	3	0	0	0	3	3	3
HDAC2	2	1	0	0	0	0	0	0	3	3	3
PDE4DIP	0	0	0	0	3	0	0	0	3	3	3
SSPO	1	0	0	0	2	0	0	0	3	3	3
ZIC2	2	0	0	0	1	0	0	0	3	3	3
FRG1	0	0	0	0	4	0	0	0	4	2	2
ANKRD36C	2	0	0	0	1	0	0	0	3	2	2
ATAD3B	0	0	0	0	3	0	0	0	3	2	2
BAGE2	0	0	0	0	0	1	0	2	3	2	2
ZDHHC11	0	0	0	0	3	0	0	0	3	2	2
ABCC5	1	1	0	0	0	0	0	0	2	2	2
ACIN1	1	0	0	0	1	0	0	0	2	2	2
AFDN	1	0	1	0	0	0	0	0	2	2	2
AGXT	0	2	0	0	0	0	0	0	2	2	2
ALPP	0	0	1	0	1	0	0	0	2	2	2
ASH1L	0	2	0	0	0	0	0	0	2	2	2
CFTR	0	0	0	0	2	0	0	0	2	2	2
CNOT3	2	0	0	0	0	0	0	0	2	2	2
DIAPH2	2	0	0	0	0	0	0	0	2	2	2
DLGAP2	0	0	0	0	2	0	0	0	2	2	2
EGFR	0	0	1	0	1	0	0	0	2	2	2
EVL	0	1	0	0	1	0	0	0	2	2	2
FLG	1	0	0	0	1	0	0	0	2	2	2
IRX5	0	0	0	0	2	0	0	0	2	2	2
LAMA5	0	0	0	0	1	0	0	1	2	2	2
MAN2C1	1	0	0	0	1	0	0	0	2	2	2
MAPK8IP3	0	0	1	0	1	0	0	0	2	2	2
MLLT6	0	0	0	0	2	0	0	0	2	2	2
MUC4	0	0	0	0	2	0	0	0	2	2	2
MYH13	0	0	0	0	2	0	0	0	2	2	2
MYH7	0	0	0	0	1	0	0	1	2	2	2
MYT1L	0	0	0	0	2	0	0	0	2	2	2
NF1	0	0	0	0	1	1	0	0	2	2	2
NRXN2	0	2	0	0	0	0	0	0	2	2	2
PCMTD1	0	0	0	0	2	0	0	0	2	2	2
PRRT2	1	0	0	0	1	0	0	0	2	2	2
RHPN2	0	0	0	0	1	1	0	0	2	2	2
RTP1	0	0	0	0	2	0	0	0	2	2	2
SMARCC2	2	0	0	0	0	0	0	0	2	2	2
STAT5B	2	0	0	0	0	0	0	0	2	2	2
TCERG1	0	0	0	0	2	0	0	0	2	2	2
TENM4	0	0	1	0	1	0	0	0	2	2	2
TNFRSF18	0	0	0	0	2	0	0	0	2	2	2
WBP1	0	2	0	0	0	0	0	0	2	2	2
WDR90	2	0	0	0	0	0	0	0	2	2	2
ZNF727	0	0	0	0	2	0	0	0	2	2	2
APOBEC3H	0	0	1	0	1	0	0	0	2	1	1
BICRA	0	0	0	0	2	0	0	0	2	1	1
ELFN2	0	0	0	0	2	0	0	0	2	1	1
FBN2	0	0	0	0	2	0	0	0	2	1	1
GUSB	0	0	0	0	2	0	0	0	2	1	1
HEATR5B	0	0	0	0	2	0	0	0	2	1	1
LAMB4	0	0	0	0	1	0	0	1	2	1	1
LRP1	0	0	0	0	2	0	0	0	2	1	1
NOS2	0	0	0	0	1	0	0	1	2	1	1
OR10H1	0	0	0	0	2	0	0	0	2	1	1
RBMX	0	1	0	0	1	0	0	0	2	1	1
RCOR2	0	0	0	0	2	0	0	0	2	1	1
RNF212	1	0	0	1	0	0	0	0	2	1	1
SYNDIG1L	0	0	0	0	2	0	0	0	2	1	1
AASDH	1	0	0	0	0	0	0	0	1	1	1
AATK	0	0	0	0	0	0	1	0	1	1	1
ABCA12	0	0	0	0	1	0	0	0	1	1	1
ABCB1	0	0	0	0	1	0	0	0	1	1	1
ABCB5	0	0	0	0	1	0	0	0	1	1	1
ABHD17A	0	0	0	0	1	0	0	0	1	1	1
ABL2	0	0	0	0	0	1	0	0	1	1	1
ABLIM3	0	0	0	0	1	0	0	0	1	1	1
ABR	0	0	0	0	1	0	0	0	1	1	1
ACADSB	0	0	0	0	1	0	0	0	1	1	1
ACOT9	0	0	0	0	1	0	0	0	1	1	1
ACPP	0	0	0	0	1	0	0	0	1	1	1
ACSL6	0	0	0	0	1	0	0	0	1	1	1
ACTG2	0	0	0	0	1	0	0	0	1	1	1
ACTN2	1	0	0	0	0	0	0	0	1	1	1
ADAL	0	0	0	0	1	0	0	0	1	1	1
ADAMTS16	0	0	0	0	1	0	0	0	1	1	1
ADAMTS6	0	0	0	0	1	0	0	0	1	1	1
ADAMTSL2	0	0	0	0	1	0	0	0	1	1	1
ADAMTSL4	0	0	0	0	1	0	0	0	1	1	1
ADGRG2	0	0	0	0	1	0	0	0	1	1	1
ADGRG7	0	0	0	0	0	1	0	0	1	1	1
ADGRV1	0	0	0	0	0	1	0	0	1	1	1
ADNP2	0	1	0	0	0	0	0	0	1	1	1
ADRA2B	0	0	0	0	1	0	0	0	1	1	1
ADSSL1	0	0	0	0	1	0	0	0	1	1	1
AGAP2	0	0	0	0	1	0	0	0	1	1	1
AGO4	0	0	0	0	1	0	0	0	1	1	1
AHNAK	0	0	0	0	1	0	0	0	1	1	1
AHRR	0	0	0	0	1	0	0	0	1	1	1
AIP	0	0	0	0	1	0	0	0	1	1	1
ALOX5	0	0	0	0	1	0	0	0	1	1	1
AMMECR1	0	0	1	0	0	0	0	0	1	1	1
AMOT	0	0	1	0	0	0	0	0	1	1	1
AMY2B	0	0	0	0	1	0	0	0	1	1	1
ANKRD17	0	0	0	0	1	0	0	0	1	1	1
ANKRD30A	0	0	0	0	1	0	0	0	1	1	1
ANKRD53	0	0	0	0	1	0	0	0	1	1	1
ANO10	1	0	0	0	0	0	0	0	1	1	1
ANTXR2	1	0	0	0	0	0	0	0	1	1	1
APC	0	0	0	0	1	0	0	0	1	1	1
APOA2	0	0	0	0	1	0	0	0	1	1	1
APOC1	0	0	0	0	1	0	0	0	1	1	1
AQP10	0	0	0	0	1	0	0	0	1	1	1
ARF3	0	0	0	0	1	0	0	0	1	1	1
ARHGAP22	0	0	0	0	1	0	0	0	1	1	1
ARHGAP25	0	0	0	0	1	0	0	0	1	1	1
ARHGEF11	0	0	0	0	0	1	0	0	1	1	1
ARHGEF3	0	0	0	0	1	0	0	0	1	1	1
ARHGEF40	0	0	0	0	1	0	0	0	1	1	1
ARID1A	0	0	0	0	1	0	0	0	1	1	1
ARID1B	0	0	0	0	1	0	0	0	1	1	1
ARSI	0	0	0	0	1	0	0	0	1	1	1
ASH2L	0	0	0	0	1	0	0	0	1	1	1
ATF7IP	0	0	0	0	1	0	0	0	1	1	1
ATP13A4	0	0	0	0	1	0	0	0	1	1	1
ATP23	0	0	0	0	1	0	0	0	1	1	1
BBX	0	0	0	0	1	0	0	0	1	1	1
BCAS3	0	1	0	0	0	0	0	0	1	1	1
BCL2L13	0	0	1	0	0	0	0	0	1	1	1
BCL2L2	0	0	0	0	1	0	0	0	1	1	1
BCLAF1	0	0	0	0	1	0	0	0	1	1	1
BCOR	0	0	0	0	1	0	0	0	1	1	1
BEND5	0	0	0	0	1	0	0	0	1	1	1
BEST3	0	0	0	0	1	0	0	0	1	1	1
BLK	0	0	0	0	1	0	0	0	1	1	1
BRPF3	1	0	0	0	0	0	0	0	1	1	1
BRSK2	0	0	0	0	1	0	0	0	1	1	1
BRWD1	0	0	0	0	1	0	0	0	1	1	1
BTBD11	0	0	0	0	1	0	0	0	1	1	1
C11orf80	0	0	0	1	0	0	0	0	1	1	1
C1QTNF5	0	0	0	0	0	1	0	0	1	1	1
C1orf112	0	0	0	0	1	0	0	0	1	1	1
C2CD6	0	0	0	0	1	0	0	0	1	1	1
C7orf33	0	0	0	0	1	0	0	0	1	1	1
CACNA1A	0	0	1	0	0	0	0	0	1	1	1
CACNA1G	1	0	0	0	0	0	0	0	1	1	1
CACNB2	0	0	0	0	1	0	0	0	1	1	1
CALY	0	0	0	0	1	0	0	0	1	1	1
CAPN14	0	0	0	0	1	0	0	0	1	1	1
CAPS2	0	0	0	0	1	0	0	0	1	1	1
CASS4	0	0	0	0	1	0	0	0	1	1	1
CBL	0	0	1	0	0	0	0	0	1	1	1
CBWD3	0	0	0	0	0	0	0	1	1	1	1
CCDC114	0	0	0	0	1	0	0	0	1	1	1
CCDC66	0	0	0	0	0	1	0	0	1	1	1
CCM2	0	0	0	0	1	0	0	0	1	1	1
CCT8L2	0	0	0	0	1	0	0	0	1	1	1
CCZ1	0	0	0	0	1	0	0	0	1	1	1
CD163	0	0	0	0	0	1	0	0	1	1	1
CD276	0	0	0	0	1	0	0	0	1	1	1
CD33	1	0	0	0	0	0	0	0	1	1	1
CD93	1	0	0	0	0	0	0	0	1	1	1
CDC42EP1	0	0	0	0	1	0	0	0	1	1	1
CDH10	0	0	0	0	0	1	0	0	1	1	1
CDK11A	0	0	0	1	0	0	0	0	1	1	1
CDKN2A	0	0	0	0	0	1	0	0	1	1	1
CDS2	0	0	0	0	0	0	0	1	1	1	1
CELSR3	0	0	0	0	1	0	0	0	1	1	1
CEP170B	0	0	0	0	1	0	0	0	1	1	1
CEP290	0	1	0	0	0	0	0	0	1	1	1
CES2	0	0	0	0	1	0	0	0	1	1	1
CFAP36	0	1	0	0	0	0	0	0	1	1	1
CFAP47	0	0	0	0	1	0	0	0	1	1	1
CFAP99	0	0	0	0	1	0	0	0	1	1	1
CGB7	0	0	0	0	1	0	0	0	1	1	1
CGNL1	0	0	0	0	1	0	0	0	1	1	1
CHEK1	0	1	0	0	0	0	0	0	1	1	1
CMTR1	0	0	0	0	1	0	0	0	1	1	1
CNOT2	0	0	0	0	0	0	0	1	1	1	1
CNTN5	0	0	0	0	1	0	0	0	1	1	1
COL13A1	0	0	0	0	0	0	0	1	1	1	1
COL1A2	0	0	0	0	1	0	0	0	1	1	1
COL20A1	0	0	0	0	1	0	0	0	1	1	1
COL6A3	1	0	0	0	0	0	0	0	1	1	1
COL9A3	0	0	0	0	1	0	0	0	1	1	1
COX5A	1	0	0	0	0	0	0	0	1	1	1
CPNE7	0	0	0	0	1	0	0	0	1	1	1
CRAMP1	0	0	0	0	1	0	0	0	1	1	1
CRK	0	0	0	0	1	0	0	0	1	1	1
CRNKL1	0	0	0	0	1	0	0	0	1	1	1
CSF2RB	0	0	0	0	1	0	0	0	1	1	1
CSH2	0	0	0	0	1	0	0	0	1	1	1
CSPG4	0	0	0	0	1	0	0	0	1	1	1
CTAGE6	0	0	0	0	1	0	0	0	1	1	1
CTDP1	0	0	0	0	1	0	0	0	1	1	1
CTNNB1	0	0	0	0	1	0	0	0	1	1	1
CTRB2	0	0	0	0	1	0	0	0	1	1	1
CWF19L2	0	0	0	0	1	0	0	0	1	1	1
CX3CR1	0	1	0	0	0	0	0	0	1	1	1
CYP4F12	0	0	0	0	1	0	0	0	1	1	1
CYTH4	0	0	0	0	0	0	0	1	1	1	1
DAGLA	0	0	0	0	1	0	0	0	1	1	1
DAGLB	0	0	0	0	1	0	0	0	1	1	1
DBNL	0	0	0	0	1	0	0	0	1	1	1
DDX1	1	0	0	0	0	0	0	0	1	1	1
DDX5	0	0	1	0	0	0	0	0	1	1	1
DDX54	0	0	1	0	0	0	0	0	1	1	1
DDX60L	1	0	0	0	0	0	0	0	1	1	1
DENND1C	1	0	0	0	0	0	0	0	1	1	1
DENND5B	0	0	0	0	1	0	0	0	1	1	1
DGKG	0	0	0	0	1	0	0	0	1	1	1
DLEC1	0	0	0	0	1	0	0	0	1	1	1
DMRTC2	0	0	0	0	1	0	0	0	1	1	1
DNA2	1	0	0	0	0	0	0	0	1	1	1
DNAH17	0	0	0	0	1	0	0	0	1	1	1
DNAH7	0	0	0	0	1	0	0	0	1	1	1
DNAJC1	0	0	1	0	0	0	0	0	1	1	1
DNMT3A	0	0	0	0	1	0	0	0	1	1	1
DOK3	0	0	0	0	1	0	0	0	1	1	1
DPP3	0	0	0	0	1	0	0	0	1	1	1
DPP6	0	0	0	0	0	0	0	1	1	1	1
DPYD	0	0	0	0	1	0	0	0	1	1	1
DSCAM	0	0	1	0	0	0	0	0	1	1	1
DTD2	0	0	0	0	1	0	0	0	1	1	1
EBPL	0	0	0	0	0	1	0	0	1	1	1
EFS	0	0	0	0	1	0	0	0	1	1	1
EP400	0	0	0	0	1	0	0	0	1	1	1
ERF	0	0	0	0	1	0	0	0	1	1	1
ERGIC2	0	0	0	0	1	0	0	0	1	1	1
ERICH3	0	0	0	0	1	0	0	0	1	1	1
ERN2	0	0	0	0	1	0	0	0	1	1	1
ERP44	1	0	0	0	0	0	0	0	1	1	1
ETV3	1	0	0	0	0	0	0	0	1	1	1
EVPL	0	0	0	0	1	0	0	0	1	1	1
FAM103A1	1	0	0	0	0	0	0	0	1	1	1
FAM105A	0	0	0	0	1	0	0	0	1	1	1
FAM118A	0	0	0	0	1	0	0	0	1	1	1
FAM129B	0	0	0	0	1	0	0	0	1	1	1
FAM135B	0	0	0	0	1	0	0	0	1	1	1
FAM155A	0	0	1	0	0	0	0	0	1	1	1
FAM170B	0	0	0	0	0	1	0	0	1	1	1
FAM19A2	0	0	0	0	1	0	0	0	1	1	1
FAM3D	0	0	0	0	1	0	0	0	1	1	1
FAM47C	0	0	0	0	1	0	0	0	1	1	1
FAM57B	1	0	0	0	0	0	0	0	1	1	1
FANCA	0	0	0	0	1	0	0	0	1	1	1
FANK1	0	0	0	0	1	0	0	0	1	1	1
FAT1	0	0	0	0	1	0	0	0	1	1	1
FBLN2	0	0	0	0	0	1	0	0	1	1	1
FBXL4	0	0	0	0	1	0	0	0	1	1	1
FBXW7	0	0	0	0	1	0	0	0	1	1	1
FETUB	0	0	0	0	1	0	0	0	1	1	1
FGF17	0	0	0	0	1	0	0	0	1	1	1
FGFR1OP2	0	0	0	0	1	0	0	0	1	1	1
FHOD3	0	0	0	0	1	0	0	0	1	1	1
FKBP10	0	0	0	0	1	0	0	0	1	1	1
FKBP8	0	0	0	0	1	0	0	0	1	1	1
FLT3LG	0	0	0	0	0	0	0	1	1	1	1
FLT4	1	0	0	0	0	0	0	0	1	1	1
FNDC1	0	0	0	0	1	0	0	0	1	1	1
FOXB2	0	0	0	0	1	0	0	0	1	1	1
FOXC2	0	0	0	0	1	0	0	0	1	1	1
FOXD4L1	0	0	0	0	1	0	0	0	1	1	1
FOXD4L5	0	0	0	0	1	0	0	0	1	1	1
FOXL1	1	0	0	0	0	0	0	0	1	1	1
FOXN3	0	0	0	0	1	0	0	0	1	1	1
FRMPD1	1	0	0	0	0	0	0	0	1	1	1
FTMT	0	0	0	0	1	0	0	0	1	1	1
FXR1	1	0	0	0	0	0	0	0	1	1	1
GAA	0	0	0	0	0	1	0	0	1	1	1
GABBR2	0	0	0	0	1	0	0	0	1	1	1
GABRA2	0	0	0	0	1	0	0	0	1	1	1
GABRB1	0	0	0	0	1	0	0	0	1	1	1
GBX2	0	0	0	0	1	0	0	0	1	1	1
GCNA	0	0	0	0	1	0	0	0	1	1	1
GEMIN5	0	0	0	0	1	0	0	0	1	1	1
GGT2	0	0	0	0	1	0	0	0	1	1	1
GLRA2	0	0	1	0	0	0	0	0	1	1	1
GOLGA3	0	0	0	0	1	0	0	0	1	1	1
GOLGA6A	0	0	0	0	1	0	0	0	1	1	1
GOLIM4	0	0	0	0	1	0	0	0	1	1	1
GPAT2	0	0	0	0	1	0	0	0	1	1	1
GPR142	0	0	0	0	1	0	0	0	1	1	1
GPR32	0	0	0	0	1	0	0	0	1	1	1
GPR37L1	0	0	1	0	0	0	0	0	1	1	1
GREB1	0	0	0	0	1	0	0	0	1	1	1
GRHL2	0	0	0	0	1	0	0	0	1	1	1
GRID1	0	0	0	0	1	0	0	0	1	1	1
GRIK2	0	0	0	0	1	0	0	0	1	1	1
GRM7	0	0	0	0	1	0	0	0	1	1	1
GSAP	1	0	0	0	0	0	0	0	1	1	1
HCAR1	0	0	0	0	1	0	0	0	1	1	1
HCAR3	0	0	0	0	1	0	0	0	1	1	1
HDAC9	0	0	0	0	1	0	0	0	1	1	1
HDGFL2	0	0	0	0	1	0	0	0	1	1	1
HEATR3	0	0	0	0	1	0	0	0	1	1	1
HES7	1	0	0	0	0	0	0	0	1	1	1
HIRA	0	0	0	0	1	0	0	0	1	1	1
HIST1H2AC	1	0	0	0	0	0	0	0	1	1	1
HIST1H3I	0	0	0	0	1	0	0	0	1	1	1
HIST2H2AB	0	0	0	0	1	0	0	0	1	1	1
HLCS	0	0	0	0	1	0	0	0	1	1	1
HMCN1	0	0	0	0	1	0	0	0	1	1	1
HMGB2	0	0	1	0	0	0	0	0	1	1	1
HNRNPA3	0	0	0	0	0	1	0	0	1	1	1
HNRNPU	0	0	0	0	1	0	0	0	1	1	1
HOXD11	0	0	0	0	1	0	0	0	1	1	1
HOXD12	0	0	0	0	1	0	0	0	1	1	1
HOXD13	0	0	0	0	1	0	0	0	1	1	1
HR	1	0	0	0	0	0	0	0	1	1	1
HRNR	0	0	0	0	1	0	0	0	1	1	1
HSD17B14	1	0	0	0	0	0	0	0	1	1	1
HSPA2	0	0	0	0	1	0	0	0	1	1	1
HTRA3	0	0	0	0	1	0	0	0	1	1	1
IFNA7	0	0	0	0	1	0	0	0	1	1	1
IGFN1	0	0	0	0	1	0	0	0	1	1	1
IKZF2	0	0	0	0	1	0	0	0	1	1	1
IL20RA	0	0	0	0	0	0	0	1	1	1	1
INF2	1	0	0	0	0	0	0	0	1	1	1
ING1	0	0	0	0	0	1	0	0	1	1	1
INMT	0	0	0	0	1	0	0	0	1	1	1
INO80E	0	1	0	0	0	0	0	0	1	1	1
INPPL1	0	0	0	0	1	0	0	0	1	1	1
INSC	0	0	0	0	0	0	0	1	1	1	1
INTS5	0	0	0	0	1	0	0	0	1	1	1
IQGAP3	0	0	0	0	1	0	0	0	1	1	1
IRS2	0	0	0	0	1	0	0	0	1	1	1
ITGB2	0	0	0	0	1	0	0	0	1	1	1
IVL	0	0	0	0	1	0	0	0	1	1	1
JCAD	0	0	0	0	1	0	0	0	1	1	1
KCNMA1	0	0	1	0	0	0	0	0	1	1	1
KCNQ1	0	0	0	0	1	0	0	0	1	1	1
KDM6B	0	0	0	0	1	0	0	0	1	1	1
KEAP1	0	0	0	0	1	0	0	0	1	1	1
KIAA1217	0	0	0	0	1	0	0	0	1	1	1
KIAA1468	0	0	0	0	1	0	0	0	1	1	1
KIF14	0	0	0	0	0	1	0	0	1	1	1
KIF25	0	0	0	0	1	0	0	0	1	1	1
KLC1	0	0	1	0	0	0	0	0	1	1	1
KLHL30	0	0	0	0	0	1	0	0	1	1	1
KLHL6	0	0	0	0	1	0	0	0	1	1	1
KMT2B	0	0	0	0	1	0	0	0	1	1	1
KMT2D	0	0	1	0	0	0	0	0	1	1	1
KMT2E	0	0	0	0	1	0	0	0	1	1	1
KRT12	0	0	0	0	1	0	0	0	1	1	1
KRT4	0	0	0	0	1	0	0	0	1	1	1
KRT6B	0	0	0	0	1	0	0	0	1	1	1
KRT76	0	0	0	0	1	0	0	0	1	1	1
KRTAP11-1	0	0	0	0	0	1	0	0	1	1	1
KRTAP9-9	0	0	0	0	1	0	0	0	1	1	1
KSR1	0	1	0	0	0	0	0	0	1	1	1
LARP1	0	0	0	0	0	0	0	1	1	1	1
LATS2	1	0	0	0	0	0	0	0	1	1	1
LCMT2	0	0	0	0	1	0	0	0	1	1	1
LHCGR	0	0	0	0	1	0	0	0	1	1	1
LILRA1	0	0	0	0	1	0	0	0	1	1	1
LILRA6	0	0	0	0	1	0	0	0	1	1	1
LILRB2	0	0	0	0	1	0	0	0	1	1	1
LINGO3	0	0	0	0	1	0	0	0	1	1	1
LMAN1	0	1	0	0	0	0	0	0	1	1	1
LNX1	0	0	0	0	1	0	0	0	1	1	1
LOC100129697	0	0	0	0	1	0	0	0	1	1	1
LRCH2	0	0	1	0	0	0	0	0	1	1	1
LRP5	0	0	0	0	1	0	0	0	1	1	1
LRRC4C	0	0	0	0	0	0	0	1	1	1	1
LRRC7	0	0	0	0	1	0	0	0	1	1	1
LRRIQ3	0	1	0	0	0	0	0	0	1	1	1
LSAMP	0	0	0	0	1	0	0	0	1	1	1
LSS	0	0	0	0	1	0	0	0	1	1	1
LY75	0	0	0	0	1	0	0	0	1	1	1
LYPD1	0	0	0	0	1	0	0	0	1	1	1
LYPD3	0	0	1	0	0	0	0	0	1	1	1
MAATS1	0	0	0	0	1	0	0	0	1	1	1
MAD2L1	0	0	0	0	1	0	0	0	1	1	1
MAFK	1	0	0	0	0	0	0	0	1	1	1
MAJIN	0	0	0	0	1	0	0	0	1	1	1
MAP3K3	0	0	0	0	1	0	0	0	1	1	1
MAU2	0	0	0	0	1	0	0	0	1	1	1
MBD3	0	0	1	0	0	0	0	0	1	1	1
MC1R	0	0	0	0	1	0	0	0	1	1	1
MCM8	0	0	0	0	1	0	0	0	1	1	1
MECOM	1	0	0	0	0	0	0	0	1	1	1
MEGF6	0	0	0	0	1	0	0	0	1	1	1
MFN1	0	0	0	0	1	0	0	0	1	1	1
MGAM	0	0	0	0	1	0	0	0	1	1	1
MIER2	0	0	0	0	0	1	0	0	1	1	1
MIOX	0	0	0	0	1	0	0	0	1	1	1
MIS18BP1	0	1	0	0	0	0	0	0	1	1	1
MISP	0	0	0	0	1	0	0	0	1	1	1
MMRN1	0	0	0	0	1	0	0	0	1	1	1
MNS1	1	0	0	0	0	0	0	0	1	1	1
MOAP1	0	0	0	0	1	0	0	0	1	1	1
MPV17	0	0	1	0	0	0	0	0	1	1	1
MRPS12	0	0	0	0	1	0	0	0	1	1	1
MSTN	0	0	0	0	1	0	0	0	1	1	1
MUC20	0	0	0	0	1	0	0	0	1	1	1
MUC5B	0	0	0	0	1	0	0	0	1	1	1
MUM1	0	0	0	0	1	0	0	0	1	1	1
MVP	0	0	0	0	1	0	0	0	1	1	1
MYBPC3	0	0	0	0	1	0	0	0	1	1	1
MYC	0	0	1	0	0	0	0	0	1	1	1
MYH1	0	0	0	0	1	0	0	0	1	1	1
MYH7B	0	0	0	0	1	0	0	0	1	1	1
MYLK	0	0	0	0	1	0	0	0	1	1	1
MYO18B	0	0	0	0	0	1	0	0	1	1	1
NABP2	0	0	0	0	1	0	0	0	1	1	1
