Hugo_Symbol	Frame_Shift_Del	Frame_Shift_Ins	In_Frame_Del	In_Frame_Ins	Missense_Mutation	Nonsense_Mutation	Nonstop_Mutation	Splice_Site	total	MutatedSamples	AlteredSamples
KMT2C	0	0	1	0	11	0	0	0	12	9	9
AHNAK2	0	0	0	0	9	0	0	0	9	7	7
PDE4DIP	0	0	0	0	6	0	0	0	6	6	6
ANKRD36C	3	0	0	0	4	0	0	0	7	5	5
BAGE2	0	0	0	0	2	1	0	4	7	5	5
MST1L	0	0	0	0	7	0	0	0	7	5	5
ZIC2	3	0	0	0	2	0	0	0	5	5	5
FRG1	0	0	0	0	6	0	0	0	6	4	4
ADAMTSL4	3	0	0	0	2	0	0	0	5	4	4
ALPP	0	0	3	0	2	0	0	0	5	4	4
EGFR	0	0	2	0	2	0	0	0	4	4	4
FLT3LG	2	0	1	0	0	0	0	1	4	4	4
IRX5	0	0	0	0	4	0	0	0	4	4	4
MUC4	0	0	1	0	3	0	0	0	4	4	4
MYT1L	0	0	0	0	4	0	0	0	4	4	4
PCMTD1	0	0	0	0	4	0	0	0	4	4	4
PRAMEF4	0	0	0	0	4	0	0	0	4	4	4
RHPN2	0	0	0	0	2	2	0	0	4	4	4
RTP1	0	0	0	0	4	0	0	0	4	4	4
SSPO	1	0	0	0	3	0	0	0	4	4	4
ATAD3B	0	0	0	0	4	0	0	0	4	3	3
MUC17	0	0	0	0	4	0	0	0	4	3	3
NOTCH2NL	0	0	0	0	4	0	0	0	4	3	3
PRB2	0	0	1	0	3	0	0	0	4	3	3
WBP1	1	3	0	0	0	0	0	0	4	3	3
ZDHHC11	0	0	0	0	4	0	0	0	4	3	3
ABCC5	1	1	0	0	1	0	0	0	3	3	3
ACIN1	2	0	0	0	1	0	0	0	3	3	3
AGXT	0	3	0	0	0	0	0	0	3	3	3
AMMECR1	0	0	3	0	0	0	0	0	3	3	3
ANAPC1	0	0	0	0	3	0	0	0	3	3	3
ASH1L	0	3	0	0	0	0	0	0	3	3	3
C11orf80	0	0	0	3	0	0	0	0	3	3	3
COL6A3	3	0	0	0	0	0	0	0	3	3	3
CSPG4	0	0	0	0	3	0	0	0	3	3	3
CTAGE6	0	0	0	0	3	0	0	0	3	3	3
DMBT1	0	0	0	0	2	1	0	0	3	3	3
EVL	1	1	0	0	1	0	0	0	3	3	3
FBLN2	0	0	0	0	0	2	0	1	3	3	3
GPR32	0	0	0	0	3	0	0	0	3	3	3
GSAP	2	0	0	0	1	0	0	0	3	3	3
HDAC2	2	1	0	0	0	0	0	0	3	3	3
LAMA5	0	0	0	0	2	0	0	1	3	3	3
MLLT6	0	0	0	0	3	0	0	0	3	3	3
MYH13	0	0	0	0	3	0	0	0	3	3	3
NBPF12	0	0	0	0	3	0	0	0	3	3	3
NF1	0	0	0	0	1	2	0	0	3	3	3
PHF21A	0	0	1	0	2	0	0	0	3	3	3
POU5F1B	1	0	0	0	0	2	0	0	3	3	3
PRRT2	2	0	0	0	1	0	0	0	3	3	3
SIGLEC11	0	0	0	0	3	0	0	0	3	3	3
SLFN13	0	0	0	0	3	0	0	0	3	3	3
ZNF99	0	0	0	0	3	0	0	0	3	3	3
FBN2	0	0	0	0	4	0	0	0	4	2	2
APOBEC3H	0	0	1	0	2	0	0	0	3	2	2
BICRA	0	0	0	0	3	0	0	0	3	2	2
DDX60L	2	0	0	0	1	0	0	0	3	2	2
ELFN2	0	0	0	0	3	0	0	0	3	2	2
EVPL	0	0	0	0	3	0	0	0	3	2	2
HEATR5B	0	0	0	0	3	0	0	0	3	2	2
IGFN1	0	0	0	0	3	0	0	0	3	2	2
LRP1	0	0	0	0	3	0	0	0	3	2	2
OR10H1	0	0	0	0	3	0	0	0	3	2	2
OR10H5	0	0	0	0	3	0	0	0	3	2	2
RBMX	0	1	0	0	2	0	0	0	3	2	2
RPGRIP1	0	0	0	0	2	1	0	0	3	2	2
SLIT3	0	0	0	0	3	0	0	0	3	2	2
SYNDIG1L	0	0	0	0	3	0	0	0	3	2	2
TRIM48	0	0	0	0	2	1	0	0	3	2	2
ABCA12	0	0	0	0	2	0	0	0	2	2	2
ABLIM3	0	0	0	0	2	0	0	0	2	2	2
ABR	0	0	0	0	2	0	0	0	2	2	2
ACTN2	2	0	0	0	0	0	0	0	2	2	2
ADAL	0	0	0	0	2	0	0	0	2	2	2
ADAMTS6	0	0	0	0	2	0	0	0	2	2	2
ADAMTSL2	0	0	0	0	2	0	0	0	2	2	2
ADGRV1	0	0	0	0	0	2	0	0	2	2	2
ADSSL1	0	0	0	0	2	0	0	0	2	2	2
AFDN	1	0	1	0	0	0	0	0	2	2	2
AIM2	1	1	0	0	0	0	0	0	2	2	2
ANKRD30A	0	0	0	0	2	0	0	0	2	2	2
ANKRD53	0	0	0	0	2	0	0	0	2	2	2
APC	0	0	0	0	2	0	0	0	2	2	2
ARHGAP22	0	0	0	0	2	0	0	0	2	2	2
ARHGEF40	0	0	0	0	2	0	0	0	2	2	2
ARID1A	0	0	0	0	2	0	0	0	2	2	2
ARSI	0	0	0	0	2	0	0	0	2	2	2
ASH2L	0	0	0	0	2	0	0	0	2	2	2
ATF7IP	0	0	0	0	2	0	0	0	2	2	2
ATP13A4	0	0	0	0	2	0	0	0	2	2	2
ATXN2L	0	0	0	0	2	0	0	0	2	2	2
B4GALNT4	0	0	0	0	2	0	0	0	2	2	2
BCL2L2	0	0	0	0	2	0	0	0	2	2	2
BCLAF1	0	0	0	0	2	0	0	0	2	2	2
BEND5	1	0	0	0	1	0	0	0	2	2	2
BEST3	0	0	0	0	2	0	0	0	2	2	2
BRD4	0	0	0	0	2	0	0	0	2	2	2
BRSK1	2	0	0	0	0	0	0	0	2	2	2
BRSK2	0	1	0	0	1	0	0	0	2	2	2
BRWD1	0	0	0	0	2	0	0	0	2	2	2
BTBD11	0	0	0	0	2	0	0	0	2	2	2
CACNA1A	0	0	1	0	0	0	0	1	2	2	2
CACNA1G	1	0	1	0	0	0	0	0	2	2	2
CACNB2	0	0	0	0	2	0	0	0	2	2	2
CALY	0	0	0	0	2	0	0	0	2	2	2
CBL	0	0	2	0	0	0	0	0	2	2	2
CBWD3	0	0	0	0	0	0	0	2	2	2	2
CCZ1	0	0	0	0	2	0	0	0	2	2	2
CD93	2	0	0	0	0	0	0	0	2	2	2
CDH10	0	0	0	0	0	2	0	0	2	2	2
CDK11A	0	0	0	2	0	0	0	0	2	2	2
CDKN2A	0	0	0	0	0	2	0	0	2	2	2
CDS2	0	0	0	0	0	0	0	2	2	2	2
CFAP36	0	2	0	0	0	0	0	0	2	2	2
CFAP47	0	0	0	0	2	0	0	0	2	2	2
CFAP99	0	0	0	0	2	0	0	0	2	2	2
CFTR	0	0	0	0	2	0	0	0	2	2	2
