	Hugo_Symbol	Frame_Shift_Del	Frame_Shift_Ins	In_Frame_Del	In_Frame_Ins	Missense_Mutation	Nonsense_Mutation	Nonstop_Mutation	Splice_Site	total	MutatedSamples	AlteredSamples
1	KMT2C	0	0	1	0	6	0	0	0	7	6	6
2	ADAMTSL4	3	0	0	0	1	0	0	0	4	3	3
3	AHNAK2	0	0	0	0	4	0	0	0	4	3	3
4	ANKRD36C	1	0	0	0	3	0	0	0	4	3	3
5	BAGE2	0	0	0	0	2	0	0	2	4	3	3
6	DMBT1	0	0	0	0	2	1	0	0	3	3	3
7	FLT3LG	2	0	1	0	0	0	0	0	3	3	3
8	PDE4DIP	0	0	0	0	3	0	0	0	3	3	3
9	PRAMEF4	0	0	0	0	3	0	0	0	3	3	3
10	ALPP	0	0	2	0	1	0	0	0	3	2	2
11	MST1L	0	0	0	0	3	0	0	0	3	2	2
12	NOTCH2NL	0	0	0	0	3	0	0	0	3	2	2
13	PRB2	0	0	1	0	2	0	0	0	3	2	2
14	RPGRIP1	0	0	0	0	2	1	0	0	3	2	2
15	AIM2	1	1	0	0	0	0	0	0	2	2	2
16	AMMECR1	0	0	2	0	0	0	0	0	2	2	2
17	ATXN2L	0	0	0	0	2	0	0	0	2	2	2
18	B4GALNT4	0	0	0	0	2	0	0	0	2	2	2
19	BRD4	0	0	0	0	2	0	0	0	2	2	2
20	BRSK1	2	0	0	0	0	0	0	0	2	2	2
21	C11orf80	0	0	0	2	0	0	0	0	2	2	2
22	COL11A1	0	0	0	0	2	0	0	0	2	2	2
23	COL6A3	2	0	0	0	0	0	0	0	2	2	2
24	CSPG4	0	0	0	0	2	0	0	0	2	2	2
25	CTAGE6	0	0	0	0	2	0	0	0	2	2	2
26	DAZAP1	1	0	0	0	1	0	0	0	2	2	2
27	EGFR	0	0	1	0	1	0	0	0	2	2	2
28	FAM161B	0	0	0	0	2	0	0	0	2	2	2
29	FBLN2	0	0	0	0	0	1	0	1	2	2	2
30	FRG1	0	0	0	0	2	0	0	0	2	2	2
31	GPR32	0	0	0	0	2	0	0	0	2	2	2
32	GSAP	1	0	0	0	1	0	0	0	2	2	2
33	IRX5	0	0	0	0	2	0	0	0	2	2	2
34	MAP1LC3A	0	0	0	0	2	0	0	0	2	2	2
35	MUC4	0	0	1	0	1	0	0	0	2	2	2
36	MYRF	2	0	0	0	0	0	0	0	2	2	2
37	MYT1L	0	0	0	0	2	0	0	0	2	2	2
38	NBPF12	0	0	0	0	2	0	0	0	2	2	2
39	OR2L3	0	0	0	0	2	0	0	0	2	2	2
40	PCMTD1	0	0	0	0	2	0	0	0	2	2	2
41	PGAP2	0	0	0	0	2	0	0	0	2	2	2
42	PHACTR2	2	0	0	0	0	0	0	0	2	2	2
